feature,importance
radius error,0.03771929824561397
worst texture,0.03157894736842102
area error,0.02894736842105259
worst area,0.028070175438596457
worst smoothness,0.027192982456140314
worst radius,0.024561403508771885
perimeter error,0.021929824561403466
mean concave points,0.02017543859649118
worst perimeter,0.018421052631578904
worst concave points,0.018421052631578904
mean concavity,0.01754385964912276
worst concavity,0.01754385964912276
mean area,0.014912280701754332
mean radius,0.014035087719298189
concave points error,0.014035087719298189
mean smoothness,0.014035087719298178
worst symmetry,0.013157894736842058
mean perimeter,0.013157894736842046
mean compactness,0.012280701754385902
worst fractal dimension,0.008771929824561342
smoothness error,0.007017543859649089
texture error,0.007017543859649089
mean texture,0.007017543859649078
compactness error,0.006140350877192935
symmetry error,0.005263157894736814
mean symmetry,0.005263157894736792
mean fractal dimension,0.000877192982456132
concavity error,0.0
fractal dimension error,0.0
worst compactness,0.0
